"sample","number","size.class","scientific","status","zone","site","location","longitude","latitude","depth","successful_count","successful_length","time_stamp"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26228/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1742,-33.4108,40.5,TRUE,FALSE,"2014-12-10T02:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26229/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4137,-33.4316,25.4,TRUE,FALSE,"2014-12-13T02:52:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26230/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2982,-33.4927,29.7,TRUE,FALSE,"2014-12-08T22:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26231/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3565,-33.3582,31.4,TRUE,TRUE,"2014-12-11T01:04:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26232/?format=feather",13,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1532,-33.5131,33.1,TRUE,TRUE,"2014-12-09T02:47:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26233/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2801,-33.5709,22.2,TRUE,FALSE,"2014-12-12T01:05:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26234/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2224,-33.4953,32,TRUE,FALSE,"2014-12-09T01:49:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26235/?format=feather",0,"<Lm","All indicator species","No-take","National Park Zone","Geographe Bay","Geographe Bay",115.3796,-33.5697,13.5,TRUE,TRUE,"2014-12-12T05:02:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26236/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5049,-33.3626,21.5,TRUE,TRUE,"2014-12-11T01:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26237/?format=feather",8,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1345,-33.4993,34.8,TRUE,TRUE,"2014-12-09T04:50:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26238/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3307,-33.4505,29.3,TRUE,TRUE,"2014-12-10T22:24:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26239/?format=feather",2,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2562,-33.5039,30,TRUE,TRUE,"2014-12-08T22:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26240/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5095,-33.4364,14.2,TRUE,TRUE,"2014-12-11T04:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26241/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2048,-33.3597,39.4,TRUE,TRUE,"2014-12-10T05:15:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26242/?format=feather",5,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0859,-33.4783,21.4,TRUE,TRUE,"2014-12-13T02:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26243/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2426,-33.3882,38.9,TRUE,FALSE,"2014-12-10T06:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26244/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.404,-33.3534,28.7,TRUE,TRUE,"2014-12-11T01:23:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26245/?format=feather",1,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1514,-33.4159,41,TRUE,TRUE,"2014-12-10T02:46:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26246/?format=feather",1,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4287,-33.4271,24.4,TRUE,TRUE,"2014-12-13T02:58:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26247/?format=feather",1,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3224,-33.4625,29.4,TRUE,TRUE,"2014-12-10T22:07:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26248/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1456,-33.3718,41.5,TRUE,TRUE,"2014-12-10T02:10:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26249/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2946,-33.5893,16.6,TRUE,FALSE,"2014-12-12T00:52:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26250/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2847,-33.413,35.2,TRUE,TRUE,"2014-12-10T23:01:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26251/?format=feather",2,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1029,-33.4558,40.8,TRUE,TRUE,"2014-12-09T05:50:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26252/?format=feather",1,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.4438,-33.5076,13.4,TRUE,TRUE,"2014-12-12T22:18:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26253/?format=feather",1,"<Lm","All indicator species","Fished","Habitat Protection Zone","Geographe Bay","Geographe Bay",115.2309,-33.5874,18.5,TRUE,TRUE,"2014-12-12T00:16:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26254/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2305,-33.3788,38.9,TRUE,TRUE,"2014-12-10T06:18:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26255/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1103,-33.3955,42.6,TRUE,TRUE,"2014-12-09T23:49:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26256/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.3791,-33.4694,24.6,TRUE,FALSE,"2014-12-13T02:26:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26257/?format=feather",6,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1924,-33.3965,41,TRUE,TRUE,"2014-12-10T03:28:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26258/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1785,-33.5405,28.6,TRUE,TRUE,"2014-12-08T23:24:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26259/?format=feather",1,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.4589,-33.4896,13,TRUE,TRUE,"2014-12-12T23:49:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26260/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2145,-33.5011,31.4,TRUE,TRUE,"2014-12-09T01:45:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26261/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.0564,-33.3828,43.9,TRUE,TRUE,"2014-12-09T22:58:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26262/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3225,-33.5333,22,TRUE,FALSE,"2014-12-12T02:53:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26263/?format=feather",1,"<Lm","All indicator species","Fished","Habitat Protection Zone","Geographe Bay","Geographe Bay",115.2061,-33.5396,29.8,TRUE,TRUE,"2014-12-08T22:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26264/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.315,-33.4176,33,TRUE,TRUE,"2014-12-10T22:43:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26265/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1528,-33.4813,36,TRUE,FALSE,"2014-12-09T04:59:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26266/?format=feather",2,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3155,-33.5175,24.9,TRUE,TRUE,"2014-12-12T02:42:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26267/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4808,-33.4489,15.9,TRUE,FALSE,"2014-12-11T05:04:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26268/?format=feather",4,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2927,-33.3847,35.6,TRUE,TRUE,"2014-12-11T00:43:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26269/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1727,-33.434,38,TRUE,FALSE,"2014-12-10T02:56:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26270/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2142,-33.4325,36.7,TRUE,FALSE,"2014-12-10T03:14:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26271/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1196,-33.5185,34.4,TRUE,TRUE,"2014-12-09T04:39:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26272/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4547,-33.4581,18.4,TRUE,TRUE,"2014-12-11T05:12:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26273/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2451,-33.4597,33.3,TRUE,FALSE,"2014-12-09T02:04:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26274/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.1881,-33.5833,29.3,TRUE,FALSE,"2014-12-09T01:25:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26275/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1677,-33.4691,34,TRUE,TRUE,"2014-12-10T22:47:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26276/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.3219,-33.5369,21.9,TRUE,TRUE,"2014-12-12T02:55:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26277/?format=feather",1,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.5224,-33.4052,14.8,TRUE,TRUE,"2014-12-11T04:35:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26278/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.2779,-33.3658,36.6,TRUE,TRUE,"2014-12-10T05:45:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26279/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.1639,-33.3984,39.7,TRUE,FALSE,"2014-12-10T02:20:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26280/?format=feather",0,"<Lm","All indicator species","Fished","Special Purpose Zone (Mining Exclusion)","Geographe Bay","Geographe Bay",115.4065,-33.4446,25.2,TRUE,TRUE,"2014-12-13T02:46:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26281/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2864,-33.4982,29.7,TRUE,TRUE,"2014-12-08T22:20:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26282/?format=feather",0,"<Lm","All indicator species","Fished",NA,"Geographe Bay","Geographe Bay",115.5567,-33.4388,5.2,TRUE,FALSE,"2014-12-14T03:25:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26283/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.4021,-33.5375,13.3,TRUE,TRUE,"2014-12-12T21:48:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26284/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.4207,-33.5019,15.8,TRUE,TRUE,"2014-12-16T04:54:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26285/?format=feather",2,"<Lm","All indicator species","Fished","General Use Zone","Geographe Bay","Geographe Bay",115.1139,-33.5808,15,TRUE,TRUE,"2014-12-14T22:50:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26286/?format=feather",0,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2737,-33.6033,13.4,TRUE,TRUE,"2014-12-17T00:29:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26287/?format=feather",4,"<Lm","All indicator species","Fished","Multiple Use Zone","Geographe Bay","Geographe Bay",115.2367,-33.5762,23.2,TRUE,TRUE,"2014-12-15T05:24:00Z"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26288/?format=feather",0,"<Lm","All indicator species","Fished",NA,"Geographe Bay","Geographe Bay",115.4323,-33.5342,12.3,TRUE,TRUE,"2014-12-16T07:37:00Z"
