"sample","longitude","latitude","Substrate","Macroalgae","Seagrasses","Cnidaria","grouping"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26368/?format=feather",115.5492,-33.3913,0,0,10,0,"186"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26369/?format=feather",115.3741,-33.5017,0,0,10,0,"187"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26370/?format=feather",115.3932,-33.4784,0,8,3,0,"188"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26371/?format=feather",115.1874,-33.5935,0,0,9,0,"189"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26372/?format=feather",115.386,-33.5309,2,0,8,0,"190"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26373/?format=feather",115.446,-33.5185,1,0,9,0,"191"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26374/?format=feather",115.4508,-33.5021,0,5,6,0,"192"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26375/?format=feather",115.2562,-33.6202,1,0,7,0,"193"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26376/?format=feather",115.4703,-33.4552,0,2,8,0,"194"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26377/?format=feather",115.459,-33.5421,0,7,0,0,"195"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26378/?format=feather",115.3328,-33.5981,0,0,7,0,"196"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26379/?format=feather",115.1556,-33.6129,0,0,9,0,"197"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26380/?format=feather",115.3528,-33.5679,0,5,4,0,"198"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26381/?format=feather",115.4919,-33.421,0,5,5,0,"199"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26382/?format=feather",115.4535,-33.4712,0,6,4,0,"200"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26383/?format=feather",115.4141,-33.5337,0,5,5,0,"201"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26384/?format=feather",115.4646,-33.5162,0,0,10,0,"202"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26385/?format=feather",115.4247,-33.4926,0,0,10,0,"203"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26386/?format=feather",115.3716,-33.5131,0,1,9,0,"204"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26387/?format=feather",115.3572,-33.5511,2,0,4,0,"205"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26388/?format=feather",115.5504,-33.3713,0,0,10,0,"206"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26389/?format=feather",115.5357,-33.4004,0,0,10,0,"207"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26390/?format=feather",115.3354,-33.5696,0,10,0,0,"208"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26391/?format=feather",115.1735,-33.5845,10,0,0,0,"209"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26392/?format=feather",115.3181,-33.6026,10,0,0,0,"210"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26393/?format=feather",115.3499,-33.5281,0,3,7,0,"211"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26394/?format=feather",115.4035,-33.5246,0,0,7,0,"212"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26395/?format=feather",115.5324,-33.4848,0,0,5,0,"213"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26396/?format=feather",115.5666,-33.3695,5,0,5,0,"214"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26397/?format=feather",115.1468,-33.5793,6,0,4,0,"215"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26398/?format=feather",115.2325,-33.601,10,0,0,0,"216"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26399/?format=feather",115.5835,-33.3599,10,0,0,0,"217"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26400/?format=feather",115.1433,-33.562,10,0,0,0,"218"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26401/?format=feather",115.5606,-33.3851,3,1,3,0,"219"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26402/?format=feather",115.3571,-33.5794,5,0,0,0,"220"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26403/?format=feather",115.5138,-33.3696,0,7,3,0,"221"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26404/?format=feather",115.5914,-33.3766,5,0,3,0,"222"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26405/?format=feather",115.4961,-33.3744,0,0,3,0,"223"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26406/?format=feather",115.4149,-33.5199,0,15,0,0,"224"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26407/?format=feather",115.4368,-33.5142,0,0,6,0,"225"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26408/?format=feather",115.2264,-33.5817,0,2,5,0,"226"
