"sample","level_2","length","number"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Bryozoa",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26111/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26112/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26113/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26113/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26113/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26114/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26115/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Bryozoa",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",60,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",10,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",40,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Cnidaria",20,1
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/26116/?format=feather","Sponges",20,1
