"sample","year","scientific","rls_thermal_niche"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Aphareus furca",26.44796
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25526/?format=feather","2019","Cephalopholis spiloparaea",26.8715
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Echeneis naucrates",25.55157
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Epinephelus rivulatus",24.22961
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25527/?format=feather","2019","Epinephelus rivulatus",24.22961
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25528/?format=feather","2019","Caranx ignobilis",26.03942
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25528/?format=feather","2019","Cyprinocirrhites polyactis",24.51275
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25528/?format=feather","2019","Lethrinus miniatus",23.073
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25528/?format=feather","2019","Lutjanus sebae",26.73573
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25529/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25529/?format=feather","2019","Parupeneus chrysopleuron",21.03178
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25530/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25530/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25530/?format=feather","2019","Lethrinus nebulosus",24.21125
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Sufflamen fraenatum",22.04221
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25533/?format=feather","2019","Caranx ignobilis",26.03942
