"sample","number","year","size.class","scientific","fb_length_at_maturity"
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25650/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25632/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25605/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25629/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25623/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25617/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25625/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25607/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25604/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25628/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25591/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25615/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25634/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25642/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25610/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25626/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25596/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25616/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25620/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25639/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25630/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25608/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25601/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25624/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25611/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25597/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25622/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25631/?format=feather",0,"2022","0-50","all.indicators",NA
"https://gaiastaging.duckdns.org/api/data/SynthesisSample/25612/?format=feather",0,"2022","0-50","all.indicators",NA
