OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
20210520-1	76	0	2855.20042	1718.47761	2912.81217	1748.02985
20210520-1	77	0	2952.42917	1737.37313	3008.52256	1726.77612
20210520-1	78	0	3010.59601	1863.74627	3070.01364	2005.52239
20210520-1	79	0	75.21511	1499.29851	71.85729	1712.64179
20210520-1	80	0	1345.42917	1755.56716	1298.50262	1902.31343
20210520-1	81	0	1140.33054	1733.65672	1117.49633	1759.32836
20210520-1	82	0	685.97272	1814.89552	669.80273	1860.32836
20210520-1	83	0	553.53305	1901.26866	529.85205	2051.19403
20210520-1	84	0	501.09024	1769.70149	497.93389	1768.17910
20210520-1	85	0	584.94963	887.74627	659.55089	1040.92537
20210520-1	86	0	2964.98216	631.11940	2949.18888	649.22388
20210520-1	87	0	1941.54145	615.64179	1938.18888	531.88060
20210520-1	88	0	3203.27702	624.61194	3185.25813	636.34328
20210520-1	89	0	3129.78594	793.64179	3085.89507	954.17910
20210520-1	90	0	605.29696	1811.56716	591.92550	1857.94030
20210520-1	91	0	464.06611	938.64179	538.87513	987.20896
20210520-1	91	1	451.30640	854.01493	525.44386	906.61194
20210520-1	92	0	954.19412	894.94030	1010.98321	922.00000
20210520-1	92	1	970.98321	777.40299	1022.39979	802.44776
20210520-1	93	0	3251.13431	667.38806	3228.06611	728.79104
20210520-1	93	1	3239.04617	606.26866	3222.69360	669.01493
20210520-1	94	0	3545.91815	1977.07463	3598.23715	2091.53731
20210520-1	94	1	3551.96222	1768.86567	3602.26653	1865.86567
20210520-1	95	0	3046.41868	1912.07463	3099.09549	1983.40299
20210520-1	95	1	3058.50682	1827.44776	3117.22770	1898.10448
20210520-1	96	0	2792.56768	1947.00000	2858.67576	2113.02985
20210520-1	96	1	2882.55719	1702.52239	2945.30745	1890.71642
20210520-1	97	0	2210.19832	1946.94030	2316.42917	2142.53731
20210520-1	97	1	2212.88458	1842.83582	2312.39979	2049.85075
20210520-1	98	0	1261.95068	739.01493	1304.89612	813.28358
20210520-1	99	0	1584.30115	757.14925	1628.58972	813.28358
20210520-1	100	0	1496.32634	626.85075	1553.11542	581.25373
