"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2022-05_PtCloates_stereo-BRUVS","15","Pinguipedidae","Parapercis","nebulosa",72.8243,1,1217.36741,0.00313606449522452,"37390005"
"2022-05_PtCloates_stereo-BRUVS","16","Balistidae","Abalistes","filamentosus",342.02778,1,1503.36761,0.813130210310637,"37465089"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","chrysophrys",405.47913,1,2006.92148,1.22829710489098,"37337011"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","fulvoguttatus",1189.53236,1,4438.15775,22.1109290100119,"37337037"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","fulvoguttatus",1160.91765,1,6286.87558,20.6495553705124,"37337037"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","gymnostethus",523.7565,1,4457.83866,2.43880901860135,"37337022"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","gymnostethus",428.09558,1,3424.737,1.4015863425406,"37337022"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","gymnostethus",592.78064,1,3513.84632,3.42641165252264,"37337022"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Carangoides","gymnostethus",621.14135,1,4861.91799,3.89567456104189,"37337022"
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Decapterus","spp",272.24207,1,3606.38761,0.339887747310624,NA
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Decapterus","spp",235.27214,1,4079.905,0.221015835143449,NA
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Decapterus","spp",277.32704,1,4188.50728,0.358951156384678,NA
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Decapterus","spp",259.5894,1,4324.9925,0.295384584972757,NA
"2022-05_PtCloates_stereo-BRUVS","16","Carangidae","Decapterus","spp",207.41515,1,3671.84806,0.152416755572655,NA
"2022-05_PtCloates_stereo-BRUVS","16","Echeneidae","Echeneis","naucrates",480.49756,1,3633.87423,0.33252715216149,"37336001"
"2022-05_PtCloates_stereo-BRUVS","16","Echeneidae","Echeneis","naucrates",574.5747,1,4093.2163,0.606146140432721,"37336001"
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Gymnocranius","sp1",329.46051,1,4059.85905,0.694039187286298,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Gymnocranius","sp1",329.36769,1,2146.22333,0.693462187436877,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Lethrinus","rubrioperculatus",340.86129,1,1142.49515,0.730656472447648,"37351012"
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Lethrinus","rubrioperculatus",327.13508,1,1448.14288,0.647489266092243,"37351012"
"2022-05_PtCloates_stereo-BRUVS","16","Lethrinidae","Lethrinus","rubrioperculatus",338.26637,1,2080.15934,0.714423590163859,"37351012"
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",531.14466,1,1985.9166,2.66990843291987,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",487.48256,1,2073.5863,2.06976372591312,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",441.54517,1,2008.19696,1.54289693613079,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",478.49534,1,2383.10647,1.95854634279529,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",491.3101,1,2081.28912,2.11837332971372,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",509.17102,1,2148.44371,2.35522774377623,NA
"2022-05_PtCloates_stereo-BRUVS","16","Lutjanidae","Pristipomoides","sp1",461.73703,1,2378.59336,1.76188509690859,NA
"2022-05_PtCloates_stereo-BRUVS","16","Rhynchobatidae","Rhynchobatus","laevis",1219.10756,1,2197.80182,12.5429796483418,"37026003"
"2022-05_PtCloates_stereo-BRUVS","16","Sparidae","Argyrops","spinifer",311.69411,1,1469.35225,1.31291199850873,"37353006"
"2022-05_PtCloates_stereo-BRUVS","16","Sparidae","Argyrops","spinifer",319.20377,1,2043.83121,1.3920673330417,"37353006"
"2022-05_PtCloates_stereo-BRUVS","16","Triakidae","Mustelus","stevensi",809.10779,1,3683.90348,2.72754211871423,"37017012"
"2022-05_PtCloates_stereo-BRUVS","17","Carangidae","Carangoides","fulvoguttatus",734.83526,1,3707.74662,5.71702505773348,"37337037"
"2022-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Cirrhitichthys","aprinus",63.82039,1,1916.3927,0.00419717640236052,"37374001"
"2022-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Cirrhitichthys","aprinus",61.36075,1,1848.23402,0.00372889496980974,"37374001"
"2022-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Paracirrhites","forsteri",77.14721,1,2152.88029,0.00483134362960722,"37374010"
"2022-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Paracirrhites","forsteri",88.10512,1,2307.43484,0.00726354045538717,"37374010"
"2022-05_PtCloates_stereo-BRUVS","17","Cirrhitidae","Paracirrhites","forsteri",71.67608,1,2152.31614,0.00385472829833444,"37374010"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","euanus",442.38992,1,3031.70823,1.94199272091869,"37351022"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Gymnocranius","sp1",369.46178,1,1293.30079,0.973372293311028,NA
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","miniatus",462.69914,1,1699.87302,1.8804692997435,"37351009"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","miniatus",473.1413,1,2632.78263,2.0231340828665,"37351009"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","rubrioperculatus",348.09879,1,3087.89925,0.777213323918593,"37351012"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","rubrioperculatus",349.94665,1,1691.96974,0.78940569978085,"37351012"
"2022-05_PtCloates_stereo-BRUVS","17","Lethrinidae","Lethrinus","rubrioperculatus",374.02102,1,2863.23721,0.959951114495123,"37351012"
"2022-05_PtCloates_stereo-BRUVS","17","Mullidae","Upeneus","moluccensis",48.77016,1,1408.5991,0.00248000109612595,"37355003"
"2022-05_PtCloates_stereo-BRUVS","17","Mullidae","Upeneus","moluccensis",48.31279,1,1577.7211,0.0024158377074225,"37355003"
"2022-05_PtCloates_stereo-BRUVS","17","Mullidae","Upeneus","moluccensis",35.23575,1,1690.23072,0.00100395696158762,"37355003"
"2022-05_PtCloates_stereo-BRUVS","17","Nemipteridae","Pentapodus","nagasakiensis",85.95975,1,1080.90964,0.00901534709858989,"37347012"
"2022-05_PtCloates_stereo-BRUVS","17","Pinguipedidae","Parapercis","nebulosa",54.65317,1,1395.71809,0.0013255682713065,"37390005"
"2022-05_PtCloates_stereo-BRUVS","17","Scombridae","Scomberomorus","spp",902.55769,1,6345.51041,10.6970380243937,NA
"2022-05_PtCloates_stereo-BRUVS","18","Carangidae","Carangoides","chrysophrys",500.39402,1,2526.97842,2.25382956847745,"37337011"
"2022-05_PtCloates_stereo-BRUVS","18","Carangidae","Carangoides","chrysophrys",421.84298,1,2629.98538,1.37686577455498,"37337011"
"2022-05_PtCloates_stereo-BRUVS","18","Carangidae","Carangoides","chrysophrys",444.31867,1,2435.43098,1.5993842944201,"37337011"
"2022-05_PtCloates_stereo-BRUVS","18","Carangidae","Carangoides","fulvoguttatus",721.90429,1,2005.2223,5.43898486445917,"37337037"
"2022-05_PtCloates_stereo-BRUVS","18","Labridae","Coris","caudimacula",67.03924,1,1639.67419,0.00337727940429119,"37384092"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Gymnocranius","sp1",378.46342,1,2008.44019,1.0450504501807,NA
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Gymnocranius","sp1",448.75363,1,2201.37722,1.72789112452742,NA
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Lethrinus","miniatus",491.69897,1,1695.4917,2.29495079298839,"37351009"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Lethrinus","miniatus",519.07413,1,1588.84203,2.74078296796082,"37351009"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Lethrinus","nebulosus",460.97062,1,1747.37396,1.80594708712492,"37351008"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Lethrinus","nebulosus",575.95357,1,4273.96395,3.51946234712443,"37351008"
"2022-05_PtCloates_stereo-BRUVS","18","Lethrinidae","Lethrinus","rubrioperculatus",343.24055,1,2781.61114,0.745752467934658,"37351012"
"2022-05_PtCloates_stereo-BRUVS","18","Lutjanidae","Lutjanus","sebae",505.74319,1,1283.26957,2.6766517753354,"37346004"
"2022-05_PtCloates_stereo-BRUVS","18","Lutjanidae","Pristipomoides","sp1",501.24982,1,1418.03423,2.2481292623444,NA
