"campaignid","sample","family","genus","species","length","number","range","mass.kg","code"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",156.98623,1,4509.63805,0.0456390266740462,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",158.3279,1,5162.58549,0.0468431186934396,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",173.80411,1,3698.5778,0.0623137272332086,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",161.65449,1,5460.52653,0.0499204603501308,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",165.82207,1,4329.02937,0.0539641743424691,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",148.56596,1,4801.78898,0.0385543246140364,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",155.99091,1,4518.0769,0.0447593563177295,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",228.98987,1,6554.15955,0.144889791637813,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Coris","auricularis",113.33996,1,4265.852,0.0168427168810848,"37384088"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Eupetrichthys","angustipes",101.82598,1,3791.81576,0.0115848426544146,"37384105"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",242.14841,1,1777.91246,0.0991570996912562,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",151.47429,1,2036.59391,0.0227285509989671,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",217.1752,1,1297.39849,0.0704517273587742,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",195.60667,1,3056.11407,0.050728522649578,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",221.16625,1,4633.48664,0.0745975777217269,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Ophthalmolepis","lineolatus",219.33344,1,1267.88343,0.0726736130974895,"37384040"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Pseudolabrus","biserialis",97.6279,1,1490.43373,0.0181455026629731,"37384149"
"2020-10_south-west_stereo-BRUVs","IO64","Labridae","Pseudolabrus","biserialis",128.16281,1,1576.10716,0.0409403303205245,"37384149"
